Account,Amount,Counterparty,Tags,Date,Location
Savings,148.41,Grab,"Dining, Entertainment, General Expenses",2022-06-25,Indonesia
Checking,13.14,ACME,"Transportation, Entertainment, General Expenses",2022-11-06,Indonesia
Savings,809.76,Google,"General Expenses, Travel, Transportation, Groceries",2022-10-19,Indonesia
Savings,722.25,ACME,"Dining, Transportation, Groceries, Travel, General Expenses",2022-06-16,Japan
Checking,274.73,Google,"Groceries, Dining",2022-11-28,Indonesia
Savings,888.52,Amazon,"Groceries, Dining, Transportation, General Expenses, Travel, Entertainment",2022-07-09,Japan
Joint Account,710.37,Google,"Transportation, General Expenses, Entertainment",2022-12-07,Singapore
Checking,709.72,Walmart,"General Expenses, Transportation, Groceries, Dining",2022-12-22,Indonesia
Joint Account,848.46,Gojek,"Entertainment, Groceries, Transportation",2022-07-24,Japan
Savings,691.44,Google,"Dining, Travel, Entertainment",2022-10-02,Japan
Checking,953.46,Fairprice,"General Expenses, Travel",2022-07-07,Japan
Joint Account,114.38,Walmart,"Dining, General Expenses",2022-12-19,Japan
Joint Account,649.82,Gojek,"Travel, General Expenses, Groceries, Entertainment",2022-11-07,Australia
Joint Account,843.06,Grab,"Entertainment, Transportation, General Expenses, Travel, Dining, Groceries",2022-07-01,Indonesia
Checking,608.69,Grab,"Transportation, Groceries, Entertainment, Dining, Travel, General Expenses",2022-06-13,Australia
Joint Account,205.51,ACME,"General Expenses, Entertainment, Travel, Groceries, Transportation, Dining",2022-06-07,Australia
Joint Account,876.17,Uber,"Transportation, General Expenses, Entertainment",2022-09-23,Indonesia
Joint Account,507.9,Starbucks,"Travel, Transportation, Entertainment, Groceries, Dining",2022-08-26,Japan
Checking,142.25,ACME,"Dining, General Expenses",2022-07-25,Indonesia
Joint Account,402.41,ACME,"Transportation, Travel, Entertainment, General Expenses, Groceries",2022-06-01,Singapore
Joint Account,711.04,Google,Groceries,2022-10-21,Japan
Checking,330.98,Fairprice,Entertainment,2022-06-06,Indonesia
Joint Account,137.65,Uber,"Transportation, Dining, General Expenses, Travel, Entertainment",2022-12-28,Indonesia
Savings,38.02,Walmart,"Groceries, Entertainment",2022-08-09,Australia
Savings,843.24,Google,"Groceries, General Expenses, Travel, Transportation, Entertainment, Dining",2022-07-24,Japan
Checking,990.2,Amazon,Groceries,2022-12-02,Indonesia
Checking,523.41,Grab,"Groceries, Dining, Entertainment, Travel, Transportation, General Expenses",2022-10-20,Australia
Joint Account,446.36,Grab,Transportation,2022-07-15,Indonesia
Checking,193.98,Google,"Groceries, Transportation",2022-06-05,Indonesia
Checking,768.66,Amazon,"Entertainment, Travel, Groceries, Dining",2022-08-02,Australia
Savings,138.83,Amazon,"Dining, General Expenses",2022-07-25,Australia
Savings,151.1,Amazon,Groceries,2022-07-07,Singapore
Checking,632.06,Walmart,Dining,2022-10-26,Indonesia
Checking,863.38,ACME,"Groceries, Transportation, Dining, Travel, Entertainment",2022-08-20,Indonesia
Joint Account,680.79,Grab,Travel,2022-10-20,Indonesia
Savings,701.28,Gojek,"Groceries, Entertainment, Transportation, General Expenses",2022-11-12,Indonesia
Savings,700.98,Gojek,"Groceries, Dining, Entertainment, Transportation, Travel, General Expenses",2022-07-01,Australia
Checking,544.02,Walmart,"Transportation, Travel, Entertainment, General Expenses",2022-06-08,Australia
Savings,110.65,Google,"Groceries, Transportation, Travel, General Expenses",2022-10-02,Singapore
Checking,936.13,Uber,"General Expenses, Groceries, Dining, Travel, Transportation, Entertainment",2022-10-12,Indonesia
Checking,509.01,Amazon,"Groceries, General Expenses, Entertainment, Transportation, Travel",2022-08-09,Indonesia
Joint Account,185.99,Google,"Travel, General Expenses, Groceries",2022-12-14,Japan
Joint Account,733.88,Amazon,"General Expenses, Travel, Transportation, Dining, Entertainment",2022-12-12,Australia
Savings,314.6,ACME,"Dining, Groceries, General Expenses, Entertainment",2022-10-10,Japan
Checking,779.95,Gojek,"Dining, Transportation, Entertainment, Groceries, General Expenses, Travel",2022-09-09,Singapore
Joint Account,5.5,Fairprice,"Travel, Entertainment",2022-07-20,Australia
Joint Account,534.41,ACME,"Dining, General Expenses, Transportation, Entertainment, Travel, Groceries",2022-10-15,Japan
Checking,327.76,ACME,"Travel, Dining, General Expenses, Groceries, Transportation",2022-10-31,Singapore
Checking,699.45,Grab,"Travel, Groceries, Entertainment",2022-09-07,Indonesia
Checking,257.28,Google,"Dining, Groceries, Transportation, Travel",2022-11-21,Australia
Checking,525.14,ACME,"Transportation, General Expenses, Dining",2022-10-10,Indonesia
Checking,177.44,Uber,"Dining, Travel, General Expenses",2022-06-09,Singapore
Savings,155.14,ACME,Transportation,2022-08-04,Indonesia
Savings,203.0,Gojek,"Groceries, Travel",2022-12-14,Australia
Checking,466.64,Starbucks,"Transportation, Entertainment, Dining, Travel",2022-12-18,Singapore
Joint Account,783.34,Starbucks,"Transportation, Dining, Groceries, Travel, General Expenses, Entertainment",2022-07-21,Japan
Checking,550.38,Grab,"General Expenses, Transportation",2022-10-06,Singapore
Savings,795.56,Uber,"General Expenses, Entertainment, Dining, Transportation",2022-06-29,Indonesia
Savings,320.39,Grab,"Groceries, General Expenses",2022-06-16,Indonesia
Savings,451.86,Fairprice,Groceries,2022-07-23,Japan
Checking,331.38,ACME,"Dining, Transportation, Entertainment",2022-10-17,Australia
Checking,375.93,Fairprice,General Expenses,2022-08-03,Singapore
Savings,518.06,Starbucks,"Transportation, Groceries, Travel",2022-08-28,Indonesia
Checking,167.3,ACME,"Entertainment, Transportation, Travel, Groceries, Dining",2022-12-14,Singapore
Checking,238.87,Google,"Travel, General Expenses, Groceries, Entertainment, Transportation",2022-07-10,Australia
Joint Account,465.57,Amazon,"Transportation, General Expenses, Groceries, Travel, Entertainment",2022-09-21,Indonesia
Joint Account,458.88,Uber,"Groceries, Travel, Dining",2022-11-04,Indonesia
Savings,150.3,Google,"General Expenses, Groceries",2022-08-16,Japan
Joint Account,181.68,Uber,"Transportation, General Expenses, Entertainment, Dining",2022-08-21,Indonesia
Checking,392.38,Google,"Dining, Transportation",2022-08-23,Indonesia
Joint Account,813.66,Grab,Entertainment,2022-08-14,Singapore
Savings,50.85,Fairprice,"Groceries, Entertainment, Dining, General Expenses, Transportation, Travel",2022-09-26,Japan
Joint Account,188.49,Fairprice,Transportation,2022-11-17,Indonesia
Savings,848.4,Uber,"Transportation, Entertainment, Dining, General Expenses",2022-11-11,Australia
Joint Account,611.37,Gojek,"Transportation, Travel, Entertainment, Dining, Groceries",2022-08-09,Japan
Savings,390.1,Fairprice,"Travel, Transportation, Entertainment, Dining, Groceries, General Expenses",2022-10-31,Singapore
Savings,54.46,Google,"Transportation, Entertainment",2022-10-07,Singapore
Joint Account,83.09,Walmart,"Transportation, General Expenses, Travel, Groceries",2022-06-26,Japan
Checking,160.98,Fairprice,"Entertainment, Travel, General Expenses, Dining, Transportation",2022-12-05,Australia
Checking,33.99,ACME,"Dining, General Expenses",2022-11-27,Australia
Joint Account,746.84,Google,"Groceries, Travel, General Expenses",2022-09-11,Australia
Joint Account,209.95,Gojek,"Transportation, Dining, Travel, General Expenses, Groceries",2022-10-07,Indonesia
Savings,475.36,Gojek,"Transportation, Entertainment, Dining, Travel, Groceries",2022-07-30,Indonesia
Checking,645.23,ACME,"General Expenses, Transportation",2022-12-08,Japan
Savings,675.88,Grab,Entertainment,2022-12-26,Singapore
Checking,485.65,Starbucks,"General Expenses, Travel, Groceries, Dining",2022-06-29,Japan
Savings,855.86,ACME,"Transportation, Groceries",2022-09-02,Australia
Savings,80.45,Starbucks,"Groceries, General Expenses",2022-09-26,Japan
Savings,897.93,Gojek,"Entertainment, Travel, General Expenses",2022-10-26,Australia
Joint Account,658.75,Uber,"Groceries, Entertainment, Travel, Dining",2022-07-15,Australia
Savings,557.96,Fairprice,"Dining, Entertainment, General Expenses",2022-12-01,Indonesia
Checking,495.66,Uber,"Transportation, General Expenses, Dining, Travel, Groceries",2022-11-22,Singapore
Savings,765.97,Uber,"Transportation, Travel, Groceries, Dining, Entertainment, General Expenses",2022-12-03,Australia
Savings,377.94,ACME,"General Expenses, Dining, Transportation, Groceries, Travel",2022-08-07,Singapore
Checking,977.65,ACME,"Travel, Groceries, General Expenses",2022-07-19,Australia
Savings,378.38,ACME,"Dining, Entertainment, General Expenses, Groceries, Transportation, Travel",2022-10-31,Japan
Joint Account,495.33,Fairprice,"Transportation, Travel, General Expenses, Groceries, Entertainment, Dining",2022-07-05,Japan
Checking,123.76,Amazon,General Expenses,2022-10-11,Australia
Joint Account,251.53,Amazon,"Transportation, Groceries, General Expenses, Dining, Entertainment, Travel",2022-07-18,Australia
Joint Account,793.76,Gojek,"Travel, Dining, Entertainment, General Expenses, Groceries, Transportation",2022-09-10,Singapore
Checking,593.59,Fairprice,"Entertainment, Transportation, Travel, Groceries, General Expenses, Dining",2022-12-19,Australia
Joint Account,135.16,ACME,"Dining, General Expenses, Transportation",2022-08-29,Japan
Savings,360.13,Amazon,"Groceries, Dining, Entertainment, Transportation, Travel",2022-10-18,Australia
Joint Account,237.93,Grab,"Travel, Entertainment, General Expenses, Groceries, Dining, Transportation",2022-10-02,Indonesia
Savings,888.55,Walmart,"Groceries, Dining, Transportation, Travel",2022-12-02,Japan
Savings,358.69,Amazon,"Groceries, Dining",2022-07-31,Indonesia
Joint Account,317.57,Amazon,Dining,2022-06-04,Singapore
Joint Account,743.66,Starbucks,"General Expenses, Groceries, Entertainment",2022-08-25,Australia
Joint Account,319.01,Fairprice,"Groceries, General Expenses, Travel, Dining, Transportation",2022-08-22,Singapore
Checking,827.45,Fairprice,"General Expenses, Groceries, Entertainment, Dining",2022-10-05,Australia
Joint Account,317.44,Uber,"Travel, Groceries, Entertainment, General Expenses",2022-08-24,Australia
Savings,876.24,Amazon,"Entertainment, Groceries, General Expenses, Transportation, Dining, Travel",2022-08-19,Australia
Joint Account,304.14,Amazon,"Entertainment, Travel, Groceries, Dining, General Expenses",2022-12-22,Australia
Savings,134.41,Grab,"Transportation, Dining, Travel, Groceries",2022-09-21,Indonesia
Savings,308.25,Gojek,"Entertainment, Groceries",2022-07-12,Japan
Checking,0.91,Google,"Entertainment, General Expenses",2022-06-05,Singapore
Savings,813.27,Amazon,"Travel, General Expenses",2022-06-28,Japan
Savings,201.51,Walmart,"Travel, Dining, Groceries, Transportation, General Expenses, Entertainment",2022-06-25,Japan
Savings,968.03,Starbucks,"General Expenses, Entertainment, Transportation, Dining",2022-07-20,Indonesia
Checking,868.95,Amazon,"General Expenses, Transportation, Travel",2022-08-05,Singapore
Savings,905.42,Fairprice,"Dining, Groceries, General Expenses",2022-11-07,Japan
Checking,420.48,Fairprice,"General Expenses, Travel, Entertainment, Transportation",2022-09-09,Indonesia
Joint Account,883.95,Gojek,"Groceries, Transportation, Entertainment, General Expenses",2022-11-25,Singapore
Savings,658.28,Grab,"General Expenses, Dining",2022-09-19,Singapore
Savings,607.74,Amazon,"Transportation, Groceries, Entertainment",2022-06-19,Singapore
Joint Account,941.72,Amazon,"Travel, Dining, General Expenses, Transportation",2022-08-31,Singapore
Checking,722.13,Gojek,"Transportation, Dining",2022-10-09,Indonesia
Checking,60.45,ACME,"Groceries, Transportation, Dining, Travel, General Expenses",2022-08-11,Singapore
Joint Account,436.55,Uber,"Dining, Travel, General Expenses",2022-07-04,Indonesia
Joint Account,175.58,Grab,Groceries,2022-10-13,Australia
Checking,62.71,Amazon,Dining,2022-06-18,Japan
Joint Account,721.25,Google,"General Expenses, Travel, Groceries, Entertainment, Transportation",2022-06-21,Japan
Savings,570.88,Amazon,"Dining, Entertainment, Transportation, General Expenses",2022-12-07,Japan
Joint Account,600.95,Amazon,"Travel, Groceries, General Expenses, Transportation",2022-10-05,Japan
Joint Account,392.49,ACME,"Dining, Entertainment, Groceries, Transportation",2022-12-21,Indonesia
Checking,565.8,Google,"Groceries, Entertainment, General Expenses, Travel, Dining",2022-12-17,Australia
Joint Account,624.95,Gojek,"Groceries, Travel, Dining, Transportation, General Expenses",2022-08-12,Japan
Checking,213.99,ACME,"General Expenses, Groceries, Transportation",2022-10-18,Australia
Joint Account,110.34,ACME,"Travel, Groceries, Entertainment, General Expenses, Dining, Transportation",2022-07-03,Indonesia
Checking,900.59,Fairprice,"Entertainment, Groceries, Travel, General Expenses",2022-10-20,Japan
Joint Account,138.05,Google,"General Expenses, Travel",2022-09-26,Singapore
Checking,662.49,Fairprice,Groceries,2022-09-28,Japan
Checking,924.03,Gojek,Travel,2022-11-06,Singapore
Checking,640.74,Uber,"Transportation, Dining, General Expenses",2022-07-28,Indonesia
Savings,163.48,Amazon,"Entertainment, Transportation, General Expenses",2022-12-08,Indonesia
Checking,622.35,Starbucks,"Groceries, Dining, General Expenses, Transportation",2022-07-05,Australia
Joint Account,397.05,Fairprice,"Entertainment, Transportation, Groceries, Travel",2022-06-05,Indonesia
Checking,570.75,Gojek,"Entertainment, Travel, Transportation",2022-06-02,Japan
Checking,298.59,Uber,"Dining, General Expenses, Transportation",2022-10-23,Indonesia
Checking,717.04,Grab,"Travel, Dining, General Expenses, Transportation",2022-10-23,Indonesia
Savings,303.86,Fairprice,"Dining, Entertainment, General Expenses",2022-12-01,Indonesia
Checking,819.81,ACME,"Transportation, Travel",2022-10-13,Japan
Checking,543.62,Walmart,"Entertainment, Travel, General Expenses",2022-11-04,Japan
Savings,85.38,Amazon,"Entertainment, General Expenses, Dining",2022-11-16,Indonesia
Savings,390.5,Google,Dining,2022-07-23,Japan
Joint Account,868.12,Grab,"General Expenses, Dining, Transportation, Groceries, Entertainment, Travel",2022-09-24,Japan
Savings,54.48,Fairprice,"Entertainment, Transportation, Groceries",2022-07-24,Australia
Checking,831.37,Gojek,"Groceries, General Expenses",2022-11-17,Singapore
Checking,904.92,Walmart,"Travel, Groceries, General Expenses, Transportation",2022-06-19,Singapore
Checking,630.18,Uber,Entertainment,2022-09-24,Singapore
Checking,851.79,ACME,General Expenses,2022-06-04,Singapore
Checking,293.08,Uber,"Transportation, Groceries, Dining, Entertainment, Travel",2022-09-10,Australia
Joint Account,27.34,Gojek,"Groceries, Transportation, General Expenses, Entertainment, Dining, Travel",2022-07-21,Australia
Joint Account,554.03,Grab,Entertainment,2022-07-16,Indonesia
Joint Account,312.24,ACME,"Travel, Dining, Entertainment",2022-10-24,Japan
Savings,195.08,ACME,"Transportation, Entertainment, Groceries",2022-08-03,Australia
Joint Account,0.7,Amazon,Entertainment,2022-11-20,Singapore
Savings,263.87,Gojek,"Dining, Entertainment, Groceries, Travel",2022-06-08,Singapore
Savings,564.79,Grab,"Transportation, General Expenses, Entertainment, Dining, Groceries, Travel",2022-09-01,Indonesia
Joint Account,400.55,Amazon,Travel,2022-09-09,Indonesia
Savings,523.79,Walmart,"Travel, Transportation, General Expenses, Dining",2022-06-08,Singapore
Checking,567.21,Grab,"Transportation, Travel",2022-08-04,Japan
Checking,631.56,Grab,"Entertainment, Travel, Transportation, Dining",2022-10-12,Japan
Joint Account,50.12,ACME,"Dining, Groceries, Travel, Transportation, Entertainment, General Expenses",2022-07-10,Japan
Checking,72.18,Grab,"Dining, Entertainment",2022-07-17,Japan
Joint Account,646.42,Google,"Travel, Dining, Entertainment, Transportation, Groceries, General Expenses",2022-08-23,Singapore
Checking,108.95,Starbucks,"Transportation, General Expenses, Groceries, Travel",2022-10-25,Singapore
Joint Account,465.25,Walmart,"Groceries, Transportation",2022-06-08,Singapore
Savings,46.41,Grab,"General Expenses, Transportation, Groceries, Entertainment",2022-07-05,Australia
Checking,507.6,Uber,"Entertainment, Transportation",2022-12-28,Indonesia
Checking,817.84,ACME,"Entertainment, General Expenses, Travel",2022-08-19,Singapore
Joint Account,806.99,Uber,"Dining, General Expenses",2022-07-21,Australia
Checking,380.09,Starbucks,"Transportation, Entertainment, Travel, Dining, General Expenses, Groceries",2022-07-03,Japan
Savings,663.03,Fairprice,Entertainment,2022-09-21,Australia
Joint Account,646.58,Grab,"Entertainment, Groceries, Dining, General Expenses",2022-10-03,Australia
Savings,635.2,ACME,"General Expenses, Entertainment",2022-07-09,Japan
Joint Account,264.99,Google,"Groceries, Travel, Dining, Transportation, Entertainment",2022-12-23,Australia
Savings,68.29,Gojek,"Groceries, Transportation, Travel, Dining, Entertainment, General Expenses",2022-07-03,Singapore
Checking,986.95,Grab,"Entertainment, Travel, Groceries, Dining, Transportation",2022-09-12,Indonesia
Checking,901.39,Google,"Dining, Travel, Entertainment, Transportation",2022-10-23,Australia
Joint Account,247.63,ACME,"Entertainment, General Expenses, Transportation, Groceries",2022-06-27,Australia
Joint Account,67.21,Starbucks,"Entertainment, Transportation, Travel, Groceries, General Expenses",2022-07-09,Japan
Joint Account,879.89,Walmart,"Travel, Dining, Transportation, General Expenses",2022-11-11,Japan
Savings,868.41,Walmart,"Travel, Entertainment, Groceries, Transportation, Dining",2022-12-18,Indonesia
